gene	TS001	TS002	TS003	TS004	TS005	TS006	TS007	TS008	TS009	TS010	TS011	TS012	TS003-2
CKS1B	67	67	55	49	30	57	25	23	20	26	33	23	71
SLC36A1	96	430	377	321	302	253	446	426	317	386	491	398	374
ARTN	14	49	21	20	8	29	5	2	4	8	1	13	19
ART1	0	1	3	1	0	2	0	0	0	0	0	1	1
ART3	771	1388	964	752	2	1339	3	4	1	1	9	1	1074
ART5	560	284	243	251	3	96	2	2	9	1	6	3	241
ART4	0	4	0	1	1	7	0	1	3	2	0	1	1
CRTAM	3	4	1	7	0	6	1	3	0	3	0	0	3
CADPS2	65	96	100	118	69	134	44	91	69	67	55	61	85
RLF	352	682	733	536	249	581	285	361	246	481	441	310	836
USP17L30	0	0	0	0	0	0	0	0	0	0	0	0	0
CRTAP	359	942	792	1632	1114	1710	889	1487	1362	1586	1341	1572	772
ADPGK	248	498	388	499	246	592	253	289	260	274	322	285	431
CPEB4	195	441	555	456	258	579	289	364	267	621	353	254	607
CPEB1	83	446	412	303	14	380	18	10	19	19	8	10	422
CPEB3	342	822	512	410	149	267	149	172	98	255	148	125	571
CPEB2	723	1455	1413	984	485	1061	441	544	323	735	605	412	1590
SRBD1	204	272	326	268	117	382	131	145	85	219	191	136	323
ABAT	160	503	760	617	394	430	585	920	505	1036	606	707	776
POU5F1B	0	8	2	1	4	5	7	0	2	3	2	4	4
PHOX2A	16	15	13	11	0	15	0	0	0	0	0	0	10
PHOX2B	0	2	3	3	0	1	0	1	2	0	0	0	1
UPK2	2	14	0	2	0	8	0	2	0	1	1	1	3
CFH	67	134	59	303	298	500	152	370	368	345	319	356	64
CFI	17	14	19	87	53	150	23	48	57	49	89	62	16
ANKFY1	279	503	662	654	664	848	568	660	378	804	693	632	715
CFB	12	19	10	52	23	66	28	39	29	31	25	58	10
CFP	15	19	31	38	41	32	75	72	42	56	49	43	35
AAAS	238	522	518	528	275	608	397	453	409	505	408	395	505
SIDT1	26	74	32	47	11	21	8	21	9	5	20	9	30
SIDT2	285	859	898	761	641	715	877	1006	661	1299	1099	938	963
CDH24	35	100	81	125	81	186	59	69	72	52	29	71	95
SAGE1	68	120	99	95	0	128	0	0	0	0	0	0	83
AAGAB	550	729	546	532	192	720	216	208	108	268	278	271	629
C4orf19	28	26	102	64	190	25	253	125	56	300	318	258	105
C4orf17	229	453	198	219	2	120	0	2	0	1	1	0	224
CDH26	15	18	15	14	1	11	6	18	5	4	2	2	18
ECEL1	17	41	32	50	11	35	6	8	14	27	4	7	32
EFHA1	439	448	344	393	154	468	188	225	173	315	284	230	399
EFHA2	63	102	169	157	125	168	168	177	111	163	156	123	177
ABCE1	375	448	538	535	265	655	330	325	218	430	402	342	640
C15orf26	68	109	87	53	0	53	3	0	2	2	2	1	90
C15orf27	44	101	69	75	1	56	2	6	2	5	0	3	78
ZNF117	176	282	820	703	1434	757	1696	1415	720	1669	1392	846	1007
ZNF114	4	12	5	9	5	16	2	6	8	8	5	11	12
SEZ6L	7	37	8	9	4	9	2	6	6	1	4	2	15
PRKAR2A	612	1274	608	500	37	338	57	66	40	71	77	34	629
PRKAR2B	462	607	1154	1138	1264	885	1701	1503	873	2213	2205	1869	1222
MAGT1	264	321	442	531	502	572	466	507	337	785	563	537	512
TMEM200B	142	319	627	516	672	463	1072	945	630	1523	1092	930	647
ITGA2B	60	144	70	52	12	61	6	12	12	11	12	17	43
CEPT1	186	232	370	360	337	390	315	320	271	504	409	334	386
PHACTR4	245	516	692	587	444	635	488	550	465	766	548	554	784
NLGN2	89	224	173	455	330	503	183	313	386	316	357	541	181
NLGN3	44	193	157	281	257	187	297	331	267	299	284	328	147
PHACTR3	8	18	12	18	2	23	3	7	4	7	7	16	10
NUP107	403	517	509	346	166	556	234	222	195	326	247	173	586
KRTAP2-3	0	0	0	1	0	1	0	0	0	1	0	0	0
KRTAP2-2	0	0	0	0	0	1	0	0	0	0	0	0	0
KRTAP2-1	0	0	0	1	0	0	0	0	0	0	0	0	1
KRTAP2-4	0	0	0	0	0	0	0	0	0	0	0	0	0
VMP1	290	432	657	613	624	571	885	1070	583	1185	1041	750	664
NR1D1	74	186	182	303	173	384	93	193	238	209	259	278	193
NR1D2	209	302	387	633	416	689	301	431	437	552	432	439	445
UFSP1	8	12	6	9	3	12	6	4	5	18	8	6	12
OGFR	340	290	333	392	267	560	234	226	195	277	290	319	324
PTCH2	229	535	437	1657	1477	1168	1065	1644	1576	1561	1883	2338	449
PTCH1	343	1005	706	1536	1281	1364	1138	1533	1429	1544	1497	1423	723
TIMM44	139	238	248	216	161	282	154	195	144	266	237	198	240
RAD9B	165	256	295	184	7	326	4	7	8	7	7	4	350
RAD9A	96	277	199	202	64	368	57	96	63	71	102	90	181
ERGIC2	256	515	272	238	94	200	104	133	109	220	140	113	318
ERGIC3	1459	2368	1653	1431	830	1538	990	893	684	1463	1086	979	1704
ERGIC1	360	707	995	1253	1487	1106	1829	1693	1186	2568	2009	1672	1075
B3GAT3	259	288	368	396	360	370	557	448	370	806	598	697	365
B3GAT2	1	7	8	6	0	6	0	0	0	0	0	0	5
B3GAT1	20	25	75	97	66	98	301	105	54	282	89	173	59
CALM2	5615	7002	5638	5005	2611	6456	2967	3196	1954	4234	3446	3673	6306
CALM3	4173	6007	4685	3741	1446	4350	1825	1853	1256	2222	2747	2020	4419
SPG21	319	409	695	666	541	832	690	714	640	1209	807	800	680
CALM1	2010	2781	4303	4742	4480	4354	6100	5753	4441	9325	6319	5728	4531
GSDMA	1	2	2	4	3	1	0	2	2	0	1	1	0
GSDMB	39	102	103	92	85	110	50	60	59	67	61	60	85
GSDMC	3	2	0	1	0	1	0	0	1	0	0	0	0
GSDMD	112	137	75	174	88	250	59	95	105	76	69	153	94
UPK1A	6	12	7	7	1	7	0	0	0	0	0	0	4
UPK1B	3	7	5	3	0	6	0	0	0	0	1	0	4
DLGAP2	170	419	167	147	8	134	14	12	13	18	11	17	184
DLGAP3	108	319	389	253	120	244	157	292	190	347	239	160	331
DLGAP1	119	222	286	206	126	193	236	286	118	224	298	218	290
DLGAP4	326	835	1217	1241	1414	996	1454	1443	1178	2335	1772	1534	1151
DLGAP5	228	318	281	143	2	241	0	8	5	1	4	1	266
FBXL14	211	715	408	344	108	227	118	152	90	244	201	129	384
OIP5	294	400	227	203	9	262	5	6	2	3	13	6	252
FBXL19	596	1154	1641	1246	1563	1064	2006	1705	1146	2706	2259	1893	1494
PTPN18	100	196	240	342	301	415	233	391	292	474	292	449	212
LRRFIP2	961	1540	892	827	222	802	188	201	179	231	216	274	840
PTPN13	306	821	979	813	436	803	513	538	410	1041	600	478	1097
PTPN12	421	688	750	825	261	991	132	386	287	216	228	311	804
PTPN11	263	431	658	788	763	712	764	897	605	1282	911	933	747
PTPN14	195	412	751	622	608	691	675	790	458	1338	902	597	815
LYAR	1358	1582	1065	736	73	908	68	102	67	146	133	92	1097
C2orf81	304	674	251	266	18	258	13	21	18	19	10	27	283
C2orf80	0	2	1	2	0	3	0	0	0	0	0	0	3
C2orf83	5	13	8	1	0	3	0	0	1	0	0	0	6
C2orf82	14	38	19	10	4	11	1	7	1	10	8	1	14
C2orf88	668	955	466	477	152	241	215	303	137	285	252	209	493
MSMP	14	35	38	13	24	36	11	15	13	30	16	15	34
MZB1	2	2	5	36	2	5	0	0	0	2	0	21	2
TRAPPC6B	328	535	731	570	422	654	729	774	430	862	753	555	733
HLA-DQB1	25	42	43	418	185	203	69	522	469	84	57	48	41
MSMB	12	14	5	15	2	10	2	1	0	0	1	0	7
HLA-DQB2	3	9	5	6	0	7	4	14	5	14	3	12	2
CDK7	305	399	311	236	108	253	125	163	84	221	186	156	303
FOXS1	44	100	33	119	117	66	56	126	134	147	94	121	50
CDK9	619	938	997	1058	869	1194	936	960	809	1277	1109	1081	984
CAMKK2	136	228	297	503	669	576	396	514	436	550	651	685	308
CAMKK1	241	243	495	502	444	423	408	805	1021	1478	607	567	452
CHMP3	34	63	30	44	17	41	17	19	16	36	27	18	29
RPL36AL	581	722	406	690	433	642	353	360	348	529	481	464	509
CHMP7	344	529	606	503	406	508	549	463	347	745	734	559	623
CHMP6	141	151	161	140	116	180	133	121	97	177	157	170	168
CHMP5	302	437	350	401	285	408	327	340	223	472	432	396	472
OR52N4	2	3	1	5	2	2	2	3	5	3	5	8	0
OR52N5	0	1	0	0	0	1	0	0	1	0	0	0	0
OR52N2	2	4	0	1	1	1	0	0	1	0	1	0	0
OR52N1	0	0	0	1	0	1	0	0	0	0	0	0	0
LY6G6C	9	16	11	6	0	5	1	1	1	2	1	1	10
HOXA13	0	0	4	3	0	0	0	0	0	0	0	1	3
HOXA11	5	15	6	10	0	7	1	1	0	1	0	0	6
HOXA10	5	4	2	5	3	6	4	4	1	3	2	0	3
GALNTL5	381	617	264	285	2	96	0	2	1	2	2	1	272
GALNTL6	23	51	24	37	4	21	47	8	9	26	48	8	25
KRTAP11-1	1	0	1	0	0	0	0	0	3	0	0	0	0
TDG	49	66	88	79	126	89	74	91	58	110	102	79	74
HN1	2186	2429	1884	1503	547	1290	822	854	593	1168	1005	770	1888
TBX2	123	180	152	519	391	517	235	499	561	530	532	719	155
LRRC27	1270	2416	983	1003	78	710	104	108	64	111	115	97	1098
LRRC26	6	7	8	3	0	5	0	0	0	0	0	1	4
KIAA1524	130	239	211	131	10	179	17	23	17	18	27	13	246
LRRC24	0	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1522	151	346	260	336	436	399	319	250	195	425	518	488	276
MPDU1	275	292	320	281	230	340	260	247	215	438	332	295	361
LRRC20	290	570	475	357	35	260	29	38	33	52	54	50	471
LRRC29	60	106	50	57	17	53	30	23	18	34	34	29	34
LRRC28	258	486	221	251	43	157	50	48	38	53	57	52	229
GCNT4	8	27	57	26	16	49	41	44	36	155	100	32	69
GCNT7	12	20	8	3	3	7	1	5	5	5	5	1	11
GCNT1	59	153	75	93	69	72	35	49	34	73	33	36	70
GCNT3	95	113	66	58	3	28	6	3	1	4	6	2	61
GCNT2	84	145	134	116	15	137	3	13	13	11	9	6	124
LPCAT4	49	88	67	104	75	155	52	67	68	49	69	96	74
LPCAT2	57	88	106	120	157	216	73	113	103	104	96	127	105
LPCAT3	129	318	258	235	111	346	110	108	64	128	167	126	283
LPCAT1	270	315	261	395	274	451	138	264	225	267	464	388	269
TAGLN	741	965	907	1823	641	1344	559	1616	1522	1265	741	848	895
CCDC178	110	545	175	125	7	159	9	6	9	4	6	6	156
CCDC179	108	139	47	82	0	19	1	1	0	0	4	0	57
ALPP	1	3	2	2	1	5	0	0	0	1	6	0	1
CCDC170	111	224	73	107	6	60	2	9	12	2	4	19	81
CCDC171	260	726	400	322	20	287	13	23	13	12	19	17	439
CCDC172	164	254	123	128	0	218	3	0	0	0	1	0	158
CCDC173	896	1634	990	709	4	755	2	10	3	5	6	5	1007
CCDC174	235	383	278	294	140	214	174	183	125	229	237	199	295
CCDC175	17	51	42	30	2	18	5	4	4	4	11	1	30
CCDC176	553	1528	750	572	52	574	64	57	48	81	57	66	859
CCDC177	12	32	14	9	0	14	0	1	1	0	0	0	14
PDK1	126	263	191	146	33	126	73	88	63	129	106	98	173
PDK3	357	701	1180	825	908	890	1464	1098	905	2238	1771	1276	1321
PDK2	173	371	355	419	222	346	256	280	251	486	267	305	302
EBP	236	182	157	286	225	268	306	275	363	431	621	512	199
PDK4	127	157	199	392	321	840	313	435	482	513	875	403	206
LNPEP	52	96	129	60	20	102	34	34	18	50	29	23	127
ALPI	0	1	0	0	0	3	0	0	0	0	0	0	0
SEC61A1	1002	1797	2127	2329	1992	2100	2572	2434	1721	3683	2869	2780	2107
SEC61A2	284	721	596	498	164	744	195	300	163	163	167	175	674
ALPL	99	184	124	120	13	173	9	13	9	11	10	24	102
PECR	5	8	3	20	18	15	9	12	15	15	22	12	9
DDIT3	310	321	343	393	136	419	187	368	199	300	204	255	348
DDIT4	198	371	502	579	491	828	836	1036	659	1147	806	804	494
RIIAD1	40	51	22	23	0	12	0	0	0	0	0	0	40
OR5R1	0	0	0	0	0	0	0	0	0	0	0	0	0
GOLGA8A	920	1526	1131	1448	792	1488	764	834	593	652	915	895	1212
GOLGA8B	778	929	917	1165	1181	1121	979	539	735	1014	1742	1301	1119
EPHB1	151	306	548	375	341	238	541	446	468	1202	774	586	551
CT45A1	0	1	1	3	0	1	0	0	1	0	0	0	1
CT45A3	0	0	0	0	0	0	0	0	0	0	0	0	0
CT45A2	0	0	0	0	0	0	0	0	0	0	0	0	0
CT45A5	15	21	20	20	0	23	0	1	0	0	0	0	18
CT45A4	0	0	0	0	0	0	0	0	0	0	0	0	0
CT45A6	1	0	0	0	0	0	0	0	0	0	0	0	1
VMO1	7	3	5	9	9	6	4	11	7	5	8	5	5
ATP5C1	400	461	645	698	633	597	842	673	522	1206	993	906	687
NPC2	620	911	928	1265	823	1258	922	741	790	1480	860	1158	919
NPC1	193	530	581	474	263	676	241	234	256	338	377	328	658
C3orf58	186	196	264	318	403	324	314	295	169	303	446	286	281
RAB3GAP2	213	312	375	405	304	400	285	300	192	417	372	290	424
BHLHA15	0	1	2	2	0	3	0	0	0	0	0	1	4
RAB3GAP1	376	784	681	670	402	679	418	473	385	693	535	452	716
C3orf52	18	39	30	37	6	32	7	5	4	2	9	2	42
C3orf55	4	2	6	7	4	11	4	7	4	7	6	4	7
DAG1	504	1369	2626	2546	3220	2086	3610	3089	2021	5860	4613	3785	2577
ETHE1	16	23	28	43	21	42	15	18	21	34	21	31	23
SGSM3	559	1030	891	747	359	1085	303	404	346	406	443	432	827
KDM1A	1886	2731	2157	1619	330	2158	378	340	244	522	428	406	2324
KDM1B	207	426	528	492	92	567	87	114	67	91	84	104	597
SLC36A2	9	33	21	13	1	5	1	4	2	2	2	3	18
OR1S1	0	0	0	0	0	0	0	0	0	0	0	1	0
OR1S2	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST1H3H	1	6	10	3	5	5	11	25	5	15	4	7	5
FCER1G	19	17	8	62	44	55	18	40	36	22	27	71	13
BTG4	142	226	131	123	0	82	0	0	0	0	1	0	155
BTG3	533	521	784	787	469	878	629	636	447	959	789	704	942
BTG2	110	122	715	1531	430	1117	336	4907	1813	1130	2073	391	778
SOSTDC1	22	52	29	41	8	40	4	10	4	8	7	10	47
SRD5A3	44	92	74	67	30	110	14	17	30	22	16	18	78
SRD5A2	59	121	27	35	5	39	5	1	6	0	3	7	34
SRD5A1	36	39	70	54	64	71	30	43	43	50	62	45	80
GGA1	3198	5856	4298	3408	1150	3999	1276	1599	1142	1495	1462	1307	4331
GGA3	235	703	595	661	430	621	360	470	357	610	505	440	630
GGA2	421	788	877	912	683	1138	607	783	604	827	794	816	908
FHOD1	119	262	213	284	260	447	178	226	231	197	334	256	233
FHOD3	78	149	164	223	440	294	185	341	364	667	469	204	188
C4orf6	4	8	9	6	5	9	5	5	5	4	1	4	3
GJC2	12	26	23	36	39	50	36	45	60	51	42	66	32
C4orf3	746	736	727	964	769	1132	755	881	767	1174	960	1150	693
GJC1	187	379	313	287	48	496	27	85	64	40	57	47	383
PSMB9	20	31	19	41	43	46	18	47	67	23	22	53	24
PSMB8	62	37	30	81	81	138	49	92	99	58	75	138	21
PSMB7	432	670	477	358	148	381	184	202	138	269	225	207	438
PSMB6	588	534	406	404	253	491	314	288	210	431	343	317	430
PSMB5	694	774	687	634	524	761	559	500	374	856	589	638	641
C14orf119	275	367	417	385	306	394	325	372	295	502	432	396	394
PSMB3	419	344	336	288	172	349	211	193	188	310	243	246	319
PSMB2	432	604	598	540	394	740	494	413	316	660	561	512	576
PSMB1	879	797	737	707	421	786	512	502	364	810	614	581	722
LMBR1L	573	1123	1382	1349	1258	1091	1654	1785	1312	2216	1894	1492	1343
TDGF1	5	4	0	10	6	2	0	9	8	1	4	1	1
PNMA3	332	517	1512	1103	1339	838	2562	2727	2021	2681	2190	1870	1528
PNMA2	52	70	35	58	39	109	10	24	16	43	20	47	36
PNMA5	224	633	433	354	0	672	0	1	3	2	2	0	497
LTN1	370	614	806	488	413	536	526	511	311	755	486	339	914
TRIML2	57	39	29	29	0	61	0	0	0	0	0	0	37
C9orf142	123	120	115	121	92	153	95	118	97	123	128	123	92
TRIML1	174	352	155	99	1	38	2	0	1	1	3	0	133
NACC2	379	706	809	759	599	808	789	480	345	665	828	982	805
VPS13D	399	994	1276	991	825	1135	706	796	629	1004	833	753	1351
NACC1	325	905	1130	835	721	956	1012	851	589	1309	1130	1045	1027
VPS13A	501	974	1206	675	178	856	185	146	82	149	187	117	1323
SH3KBP1	70	91	108	170	93	241	49	112	123	103	105	155	116
VPS13C	244	457	933	666	780	802	797	966	604	993	918	724	995
VPS13B	217	569	710	547	486	691	521	565	372	739	534	444	826
BEX5	101	134	228	186	231	122	368	273	169	585	423	308	229
BEX4	399	450	750	868	837	690	1140	1041	763	1738	1297	1206	860
BEX2	258	242	512	417	425	274	656	510	299	905	683	529	479
BEX1	689	413	1092	985	1422	725	1597	1546	927	2508	1976	1715	1137
TMEM160	53	76	39	31	13	29	11	15	14	30	9	25	42
TMEM163	100	164	182	299	336	251	450	420	203	529	416	431	163
TMEM165	229	331	285	409	375	440	496	469	296	602	530	485	351
TMEM164	66	119	136	176	286	142	264	237	153	297	347	226	127
EVI2A	5	27	9	64	34	33	10	30	26	14	12	31	14
TMEM168	271	380	465	480	526	593	637	595	335	654	610	548	513
EVI2B	7	28	10	71	40	48	15	34	23	35	18	47	15
FOXN1	5	8	6	3	0	6	0	0	1	0	1	0	2
FOXN2	68	157	261	187	171	280	129	215	118	179	185	163	326
FOXN3	170	420	676	659	752	530	865	847	655	1703	1067	885	623
NICN1	270	521	332	392	220	461	143	246	207	178	253	235	400
COL14A1	54	146	127	251	70	257	59	251	215	260	129	123	129
FAHD2A	91	173	119	106	76	121	67	78	71	99	99	77	133
IFFO1	227	429	525	551	484	575	553	611	437	632	512	593	473
IFFO2	37	89	93	145	157	135	111	157	99	99	80	115	99
SNAP91	333	584	349	341	10	330	10	5	8	6	6	6	384
C11orf35	282	531	248	234	15	104	10	11	20	24	39	29	240
C11orf34	0	5	3	0	1	0	0	1	0	1	1	0	0
C11orf31	353	289	299	269	180	225	236	266	196	356	305	307	318
C11orf30	109	309	336	222	145	321	112	153	124	168	154	125	376
PHTF2	270	369	390	352	130	426	75	122	88	143	132	156	420
MACROD2	128	136	261	238	185	247	340	141	132	422	302	262	294
MACROD1	63	57	56	48	15	66	26	34	37	34	31	35	40
SEP15	908	1007	984	1154	865	1071	1071	1009	756	1761	1414	1281	1155
KRR1	105	135	181	134	112	195	134	165	89	151	172	118	211
FAM64A	7	8	8	2	0	3	0	7	2	2	2	2	4
FAM92A1	612	1032	428	499	71	366	94	119	76	126	108	106	482
UGT2A1	1	0	1	0	0	0	0	0	0	0	0	0	0
C8orf48	115	172	91	89	33	70	30	12	22	31	21	24	101
C8orf47	22	34	49	35	62	39	25	52	15	22	26	25	40
C8orf46	10	26	28	53	28	18	23	42	42	57	41	28	25
C8orf44	23	60	53	58	40	63	80	76	57	94	80	65	62
C8orf42	392	515	529	461	83	758	128	130	153	219	75	159	534
TP53I3	372	804	471	430	143	448	253	299	175	271	285	326	500
C8orf40	327	424	290	299	168	315	165	173	121	270	253	235	285
MB	8	21	7	6	1	4	2	0	3	1	0	3	9
DUX4L7	0	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L6	0	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L5	0	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L4	0	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L3	0	0	0	0	0	0	0	0	0	0	0	0	0
DUX4L2	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC18A3	0	1	1	1	0	4	0	0	0	0	0	0	1
SLC18A2	48	89	85	147	86	144	42	77	33	55	83	95	118
SLC18A1	2	2	0	4	0	7	2	0	0	0	0	0	3
RALBP1	156	331	417	391	299	462	255	294	223	411	404	309	409
ZNF831	10	26	53	29	26	29	29	37	31	65	34	32	39
ZNF830	192	254	254	231	208	271	188	182	168	336	244	227	328
ZNF835	7	15	7	12	10	14	6	10	16	17	10	14	7
ZNF837	22	57	48	53	35	60	29	32	28	57	42	32	46
ZNF836	14	18	29	34	48	40	27	50	33	44	72	27	44
ZNF839	496	811	680	684	385	581	528	653	444	700	554	540	751
LRIF1	403	581	770	651	564	719	569	589	441	921	761	692	829
FAM91A1	177	369	454	416	346	387	436	478	245	584	476	397	457
TSPY8	1	0	2	0	0	1	0	0	0	0	0	0	2
TSPY3	0	0	0	0	0	0	0	0	0	0	0	0	0
TSPY2	5	9	10	10	0	14	0	0	0	0	0	0	11
TSPY1	1	5	8	3	0	0	0	0	0	0	0	0	8
RAB33A	5	14	1	4	2	15	1	2	3	4	4	2	3
SLC17A9	16	24	31	54	38	47	20	53	24	22	49	41	32
RAB33B	73	81	102	96	132	139	96	135	76	157	129	126	125
SLC17A4	2	11	6	6	1	1	0	1	1	1	0	0	7
SLC17A5	100	202	158	160	82	183	75	96	62	111	90	64	169
SLC17A6	1	3	1	1	0	3	0	0	1	1	0	3	0
SLC17A7	29	94	77	55	31	98	3	21	15	25	15	42	80
SLC17A1	15	52	18	11	2	7	1	1	0	1	2	2	19
SLC17A2	9	2	3	4	0	8	1	0	0	1	0	0	5
SLC17A3	5	10	4	3	7	4	4	2	0	8	16	10	8
C16orf58	399	839	924	863	748	931	847	787	623	1191	953	957	872
C16orf59	73	120	117	92	10	133	12	21	7	10	20	17	101
C16orf52	94	153	272	262	275	283	340	294	243	571	377	310	310
C16orf54	4	5	2	11	6	4	1	1	4	0	2	5	6
C16orf55	1002	1471	759	607	35	625	28	38	35	42	43	28	706
AP5B1	97	216	194	195	158	259	82	120	103	169	192	168	192
CHMP4A	210	215	195	231	217	213	222	257	193	320	257	263	190
CHMP4B	769	1048	918	935	805	1029	877	944	640	1256	1126	1090	964
CHMP4C	21	11	16	22	42	19	37	29	22	58	59	49	17
COBLL1	26	46	61	88	58	141	27	81	74	40	104	48	67
TMEM255B	23	38	20	36	13	49	3	14	16	8	11	13	22
TMEM255A	1	6	8	7	7	10	1	9	4	5	8	10	4
ST5	679	1777	2018	2150	1784	1790	2091	1997	1948	3501	2593	2293	2003
ST7	72	144	103	140	122	147	128	108	84	134	96	121	107
ZNF304	87	182	244	222	156	236	159	209	171	248	191	181	288
STH	0	3	2	1	0	0	0	0	0	0	0	0	0
ZNF302	291	382	458	505	347	571	377	501	367	455	490	380	580
ZNF300	102	259	205	204	188	174	237	286	188	233	255	139	260
STS	45	53	84	126	123	122	103	100	136	173	161	107	85
TRIM49D2P	0	0	0	0	0	0	0	0	0	0	0	0	0
HOXB13	1	2	0	2	1	2	0	2	0	0	1	0	3
PPP3CA	213	337	527	528	583	531	757	601	410	866	916	813	545
PPP3CB	248	466	481	555	348	613	326	399	360	533	440	409	555
PPP3CC	798	1435	635	615	131	680	171	216	132	249	204	160	732
LIF	4	17	15	38	31	70	7	95	46	25	68	25	11
GPATCH8	363	1154	1326	1223	993	1232	1008	1222	867	1511	1354	1057	1435
IQCJ-SCHIP1	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL18	1259	1126	1276	1509	1587	1722	1695	1674	1674	2451	2157	2051	1277
ADRA2A	130	203	98	121	14	129	5	31	72	78	33	38	91
ADRA2B	31	157	32	41	51	157	490	674	59	28	61	46	26
ADRA2C	60	63	78	65	45	93	62	43	69	81	68	85	79
TEX26	284	397	157	231	2	80	1	2	4	12	9	3	202
TEX22	109	210	98	73	8	68	15	5	2	5	15	15	92
TEX28	0	0	2	1	0	0	0	0	0	0	0	0	0
TEX29	200	228	107	109	0	43	3	2	1	2	6	1	111
SYT8	4	5	4	3	1	3	3	4	2	1	5	4	2
SYT9	22	60	35	26	13	15	14	9	8	3	9	5	31
MTCH2	1021	1474	1026	915	258	949	361	288	243	448	337	338	986
MTCH1	884	1068	1651	1740	1372	1613	2430	1770	1566	3030	2447	2537	1506
SYT1	20	33	55	23	33	31	5	40	10	30	29	28	63
SYT2	40	64	78	100	141	119	179	187	93	210	186	170	69
SYT3	23	63	32	25	1	27	1	1	0	4	2	0	34
SYT4	39	5	7	4	0	14	0	3	3	8	29	14	2
SYT5	43	138	41	41	1	47	1	3	1	0	1	1	41
SYT6	10	35	24	13	3	14	4	5	5	0	6	6	22
SYT7	57	188	166	169	45	170	20	44	55	35	53	45	128
TIAL1	549	760	700	760	418	820	469	532	374	634	519	520	736
FUBP3	268	348	667	603	477	569	658	728	497	1107	943	746	657
FUBP1	179	422	461	349	254	442	293	332	220	381	368	233	425
SCHIP1	5	7	4	4	18	6	10	11	5	9	25	11	1
MARCO	17	7	1	8	1	7	0	0	4	3	5	3	3
SAP30	310	321	240	169	38	265	43	55	46	71	68	43	227
NBL1	1	3	3	12	6	26	2	10	10	15	4	8	8
HSFX2	0	0	0	0	0	0	0	0	0	0	0	0	0
HSFX1	0	0	0	0	0	0	0	0	0	0	0	0	0
C1orf53	13	23	9	20	16	22	14	12	14	17	14	22	23
C1orf52	292	284	280	299	197	336	213	234	181	250	311	244	305
C1orf51	69	115	108	156	48	181	33	41	53	45	95	77	91
