gene	TS001	TS002	TS003	TS004	TS005	TS007	TS008	TS009	TS010	TS011	TS012
SLC36A3	77	171	95	126	0	0	0	1	1	1	0
CKS1B	67	67	55	49	30	25	23	20	26	33	23
SLC36A1	96	430	377	321	302	446	426	317	386	491	398
ARTN	14	49	21	20	8	5	2	4	8	1	13
ART1	0	1	3	1	0	0	0	0	0	0	1
ART3	771	1388	964	752	2	3	4	1	1	9	1
ART5	560	284	243	251	3	2	2	9	1	6	3
ART4	0	4	0	1	1	0	1	3	2	0	1
CRTAM	3	4	1	7	0	1	3	0	3	0	0
CADPS2	65	96	100	118	69	44	91	69	67	55	61
RLF	352	682	733	536	249	285	361	246	481	441	310
USP17L30	0	0	0	0	0	0	0	0	0	0	0
CRTAP	359	942	792	1632	1114	889	1487	1362	1586	1341	1572
ADPGK	248	498	388	499	246	253	289	260	274	322	285
CPEB4	195	441	555	456	258	289	364	267	621	353	254
CPEB1	83	446	412	303	14	18	10	19	19	8	10
CPEB3	342	822	512	410	149	149	172	98	255	148	125
CPEB2	723	1455	1413	984	485	441	544	323	735	605	412
SRBD1	204	272	326	268	117	131	145	85	219	191	136
ABAT	160	503	760	617	394	585	920	505	1036	606	707
POU5F1B	0	8	2	1	4	7	0	2	3	2	4
PHOX2A	16	15	13	11	0	0	0	0	0	0	0
PHOX2B	0	2	3	3	0	0	1	2	0	0	0
UPK2	2	14	0	2	0	0	2	0	1	1	1
CFH	67	134	59	303	298	152	370	368	345	319	356
CFI	17	14	19	87	53	23	48	57	49	89	62
ANKFY1	279	503	662	654	664	568	660	378	804	693	632
CFB	12	19	10	52	23	28	39	29	31	25	58
CFP	15	19	31	38	41	75	72	42	56	49	43
AAAS	238	522	518	528	275	397	453	409	505	408	395
SIDT1	26	74	32	47	11	8	21	9	5	20	9
SIDT2	285	859	898	761	641	877	1006	661	1299	1099	938
CDH24	35	100	81	125	81	59	69	72	52	29	71
SAGE1	68	120	99	95	0	0	0	0	0	0	0
AAGAB	550	729	546	532	192	216	208	108	268	278	271
C4orf19	28	26	102	64	190	253	125	56	300	318	258
C4orf17	229	453	198	219	2	0	2	0	1	1	0
CDH26	15	18	15	14	1	6	18	5	4	2	2
ECEL1	17	41	32	50	11	6	8	14	27	4	7
EFHA1	439	448	344	393	154	188	225	173	315	284	230
EFHA2	63	102	169	157	125	168	177	111	163	156	123
ABCE1	375	448	538	535	265	330	325	218	430	402	342
C15orf26	68	109	87	53	0	3	0	2	2	2	1
C15orf27	44	101	69	75	1	2	6	2	5	0	3
ZNF117	176	282	820	703	1434	1696	1415	720	1669	1392	846
ZNF114	4	12	5	9	5	2	6	8	8	5	11
SEZ6L	7	37	8	9	4	2	6	6	1	4	2
PRKAR2A	612	1274	608	500	37	57	66	40	71	77	34
PRKAR2B	462	607	1154	1138	1264	1701	1503	873	2213	2205	1869
MAGT1	264	321	442	531	502	466	507	337	785	563	537
TMEM200B	142	319	627	516	672	1072	945	630	1523	1092	930
ITGA2B	60	144	70	52	12	6	12	12	11	12	17
CEPT1	186	232	370	360	337	315	320	271	504	409	334
PHACTR4	245	516	692	587	444	488	550	465	766	548	554
NLGN2	89	224	173	455	330	183	313	386	316	357	541
NLGN3	44	193	157	281	257	297	331	267	299	284	328
PHACTR3	8	18	12	18	2	3	7	4	7	7	16
NUP107	403	517	509	346	166	234	222	195	326	247	173
KRTAP2-3	0	0	0	1	0	0	0	0	1	0	0
KRTAP2-2	0	0	0	0	0	0	0	0	0	0	0
KRTAP2-1	0	0	0	1	0	0	0	0	0	0	0
KRTAP2-4	0	0	0	0	0	0	0	0	0	0	0
VMP1	290	432	657	613	624	885	1070	583	1185	1041	750
NR1D1	74	186	182	303	173	93	193	238	209	259	278
NR1D2	209	302	387	633	416	301	431	437	552	432	439
UFSP1	8	12	6	9	3	6	4	5	18	8	6
OGFR	340	290	333	392	267	234	226	195	277	290	319
PTCH2	229	535	437	1657	1477	1065	1644	1576	1561	1883	2338
PTCH1	343	1005	706	1536	1281	1138	1533	1429	1544	1497	1423
TIMM44	139	238	248	216	161	154	195	144	266	237	198
RAD9B	165	256	295	184	7	4	7	8	7	7	4
RAD9A	96	277	199	202	64	57	96	63	71	102	90
ERGIC2	256	515	272	238	94	104	133	109	220	140	113
ERGIC3	1459	2368	1653	1431	830	990	893	684	1463	1086	979
ERGIC1	360	707	995	1253	1487	1829	1693	1186	2568	2009	1672
B3GAT3	259	288	368	396	360	557	448	370	806	598	697
B3GAT2	1	7	8	6	0	0	0	0	0	0	0
B3GAT1	20	25	75	97	66	301	105	54	282	89	173
CALM2	5615	7002	5638	5005	2611	2967	3196	1954	4234	3446	3673
CALM3	4173	6007	4685	3741	1446	1825	1853	1256	2222	2747	2020
SPG21	319	409	695	666	541	690	714	640	1209	807	800
CALM1	2010	2781	4303	4742	4480	6100	5753	4441	9325	6319	5728
GSDMA	1	2	2	4	3	0	2	2	0	1	1
GSDMB	39	102	103	92	85	50	60	59	67	61	60
GSDMC	3	2	0	1	0	0	0	1	0	0	0
GSDMD	112	137	75	174	88	59	95	105	76	69	153
UPK1A	6	12	7	7	1	0	0	0	0	0	0
UPK1B	3	7	5	3	0	0	0	0	0	1	0
DLGAP2	170	419	167	147	8	14	12	13	18	11	17
DLGAP3	108	319	389	253	120	157	292	190	347	239	160
DLGAP1	119	222	286	206	126	236	286	118	224	298	218
DLGAP4	326	835	1217	1241	1414	1454	1443	1178	2335	1772	1534
DLGAP5	228	318	281	143	2	0	8	5	1	4	1
FBXL14	211	715	408	344	108	118	152	90	244	201	129
OIP5	294	400	227	203	9	5	6	2	3	13	6
FBXL19	596	1154	1641	1246	1563	2006	1705	1146	2706	2259	1893
PTPN18	100	196	240	342	301	233	391	292	474	292	449
LRRFIP2	961	1540	892	827	222	188	201	179	231	216	274
PTPN13	306	821	979	813	436	513	538	410	1041	600	478
PTPN12	421	688	750	825	261	132	386	287	216	228	311
PTPN11	263	431	658	788	763	764	897	605	1282	911	933
PTPN14	195	412	751	622	608	675	790	458	1338	902	597
LYAR	1358	1582	1065	736	73	68	102	67	146	133	92
C2orf81	304	674	251	266	18	13	21	18	19	10	27
C2orf80	0	2	1	2	0	0	0	0	0	0	0
C2orf83	5	13	8	1	0	0	0	1	0	0	0
C2orf82	14	38	19	10	4	1	7	1	10	8	1
C2orf88	668	955	466	477	152	215	303	137	285	252	209
MSMP	14	35	38	13	24	11	15	13	30	16	15
MZB1	2	2	5	36	2	0	0	0	2	0	21
TRAPPC6B	328	535	731	570	422	729	774	430	862	753	555
HLA-DQB1	25	42	43	418	185	69	522	469	84	57	48
MSMB	12	14	5	15	2	2	1	0	0	1	0
HLA-DQB2	3	9	5	6	0	4	14	5	14	3	12
CDK7	305	399	311	236	108	125	163	84	221	186	156
FOXS1	44	100	33	119	117	56	126	134	147	94	121
CDK9	619	938	997	1058	869	936	960	809	1277	1109	1081
CAMKK2	136	228	297	503	669	396	514	436	550	651	685
CAMKK1	241	243	495	502	444	408	805	1021	1478	607	567
CHMP3	34	63	30	44	17	17	19	16	36	27	18
RPL36AL	581	722	406	690	433	353	360	348	529	481	464
CHMP7	344	529	606	503	406	549	463	347	745	734	559
CHMP6	141	151	161	140	116	133	121	97	177	157	170
CHMP5	302	437	350	401	285	327	340	223	472	432	396
OR52N4	2	3	1	5	2	2	3	5	3	5	8
OR52N5	0	1	0	0	0	0	0	1	0	0	0
OR52N2	2	4	0	1	1	0	0	1	0	1	0
OR52N1	0	0	0	1	0	0	0	0	0	0	0
LY6G6C	9	16	11	6	0	1	1	1	2	1	1
HOXA13	0	0	4	3	0	0	0	0	0	0	1
HOXA11	5	15	6	10	0	1	1	0	1	0	0
HOXA10	5	4	2	5	3	4	4	1	3	2	0
GALNTL5	381	617	264	285	2	0	2	1	2	2	1
GALNTL6	23	51	24	37	4	47	8	9	26	48	8
KRTAP11-1	1	0	1	0	0	0	0	3	0	0	0
TDG	49	66	88	79	126	74	91	58	110	102	79
HN1	2186	2429	1884	1503	547	822	854	593	1168	1005	770
TBX2	123	180	152	519	391	235	499	561	530	532	719
LRRC27	1270	2416	983	1003	78	104	108	64	111	115	97
LRRC26	6	7	8	3	0	0	0	0	0	0	1
KIAA1524	130	239	211	131	10	17	23	17	18	27	13
LRRC24	0	0	0	0	0	0	0	0	0	0	0
KIAA1522	151	346	260	336	436	319	250	195	425	518	488
MPDU1	275	292	320	281	230	260	247	215	438	332	295
LRRC20	290	570	475	357	35	29	38	33	52	54	50
LRRC29	60	106	50	57	17	30	23	18	34	34	29
LRRC28	258	486	221	251	43	50	48	38	53	57	52
GCNT4	8	27	57	26	16	41	44	36	155	100	32
GCNT7	12	20	8	3	3	1	5	5	5	5	1
GCNT1	59	153	75	93	69	35	49	34	73	33	36
GCNT3	95	113	66	58	3	6	3	1	4	6	2
GCNT2	84	145	134	116	15	3	13	13	11	9	6
LPCAT4	49	88	67	104	75	52	67	68	49	69	96
LPCAT2	57	88	106	120	157	73	113	103	104	96	127
LPCAT3	129	318	258	235	111	110	108	64	128	167	126
LPCAT1	270	315	261	395	274	138	264	225	267	464	388
TAGLN	741	965	907	1823	641	559	1616	1522	1265	741	848
CCDC178	110	545	175	125	7	9	6	9	4	6	6
CCDC179	108	139	47	82	0	1	1	0	0	4	0
ALPP	1	3	2	2	1	0	0	0	1	6	0
CCDC170	111	224	73	107	6	2	9	12	2	4	19
CCDC171	260	726	400	322	20	13	23	13	12	19	17
CCDC172	164	254	123	128	0	3	0	0	0	1	0
CCDC173	896	1634	990	709	4	2	10	3	5	6	5
CCDC174	235	383	278	294	140	174	183	125	229	237	199
CCDC175	17	51	42	30	2	5	4	4	4	11	1
CCDC176	553	1528	750	572	52	64	57	48	81	57	66
CCDC177	12	32	14	9	0	0	1	1	0	0	0
PDK1	126	263	191	146	33	73	88	63	129	106	98
PDK3	357	701	1180	825	908	1464	1098	905	2238	1771	1276
PDK2	173	371	355	419	222	256	280	251	486	267	305
EBP	236	182	157	286	225	306	275	363	431	621	512
PDK4	127	157	199	392	321	313	435	482	513	875	403
LNPEP	52	96	129	60	20	34	34	18	50	29	23
ALPI	0	1	0	0	0	0	0	0	0	0	0
SEC61A1	1002	1797	2127	2329	1992	2572	2434	1721	3683	2869	2780
SEC61A2	284	721	596	498	164	195	300	163	163	167	175
ALPL	99	184	124	120	13	9	13	9	11	10	24
PECR	5	8	3	20	18	9	12	15	15	22	12
DDIT3	310	321	343	393	136	187	368	199	300	204	255
DDIT4	198	371	502	579	491	836	1036	659	1147	806	804
RIIAD1	40	51	22	23	0	0	0	0	0	0	0
OR5R1	0	0	0	0	0	0	0	0	0	0	0
GOLGA8A	920	1526	1131	1448	792	764	834	593	652	915	895
GOLGA8B	778	929	917	1165	1181	979	539	735	1014	1742	1301
EPHB1	151	306	548	375	341	541	446	468	1202	774	586
CT45A1	0	1	1	3	0	0	0	1	0	0	0
CT45A3	0	0	0	0	0	0	0	0	0	0	0
CT45A2	0	0	0	0	0	0	0	0	0	0	0
CT45A5	15	21	20	20	0	0	1	0	0	0	0
CT45A4	0	0	0	0	0	0	0	0	0	0	0
CT45A6	1	0	0	0	0	0	0	0	0	0	0
VMO1	7	3	5	9	9	4	11	7	5	8	5
ATP5C1	400	461	645	698	633	842	673	522	1206	993	906
NPC2	620	911	928	1265	823	922	741	790	1480	860	1158
NPC1	193	530	581	474	263	241	234	256	338	377	328
C3orf58	186	196	264	318	403	314	295	169	303	446	286
RAB3GAP2	213	312	375	405	304	285	300	192	417	372	290
BHLHA15	0	1	2	2	0	0	0	0	0	0	1
RAB3GAP1	376	784	681	670	402	418	473	385	693	535	452
C3orf52	18	39	30	37	6	7	5	4	2	9	2
C3orf55	4	2	6	7	4	4	7	4	7	6	4
DAG1	504	1369	2626	2546	3220	3610	3089	2021	5860	4613	3785
ETHE1	16	23	28	43	21	15	18	21	34	21	31
SGSM3	559	1030	891	747	359	303	404	346	406	443	432
KDM1A	1886	2731	2157	1619	330	378	340	244	522	428	406
KDM1B	207	426	528	492	92	87	114	67	91	84	104
SLC36A2	9	33	21	13	1	1	4	2	2	2	3
OR1S1	0	0	0	0	0	0	0	0	0	0	1
OR1S2	0	0	0	0	0	0	0	0	0	0	0
HIST1H3H	1	6	10	3	5	11	25	5	15	4	7
FCER1G	19	17	8	62	44	18	40	36	22	27	71
BTG4	142	226	131	123	0	0	0	0	0	1	0
BTG3	533	521	784	787	469	629	636	447	959	789	704
BTG2	110	122	715	1531	430	336	4907	1813	1130	2073	391
SOSTDC1	22	52	29	41	8	4	10	4	8	7	10
SRD5A3	44	92	74	67	30	14	17	30	22	16	18
SRD5A2	59	121	27	35	5	5	1	6	0	3	7
SRD5A1	36	39	70	54	64	30	43	43	50	62	45
GGA1	3198	5856	4298	3408	1150	1276	1599	1142	1495	1462	1307
GGA3	235	703	595	661	430	360	470	357	610	505	440
GGA2	421	788	877	912	683	607	783	604	827	794	816
FHOD1	119	262	213	284	260	178	226	231	197	334	256
FHOD3	78	149	164	223	440	185	341	364	667	469	204
C4orf6	4	8	9	6	5	5	5	5	4	1	4
GJC2	12	26	23	36	39	36	45	60	51	42	66
C4orf3	746	736	727	964	769	755	881	767	1174	960	1150
GJC1	187	379	313	287	48	27	85	64	40	57	47
PSMB9	20	31	19	41	43	18	47	67	23	22	53
PSMB8	62	37	30	81	81	49	92	99	58	75	138
PSMB7	432	670	477	358	148	184	202	138	269	225	207
PSMB6	588	534	406	404	253	314	288	210	431	343	317
PSMB5	694	774	687	634	524	559	500	374	856	589	638
C14orf119	275	367	417	385	306	325	372	295	502	432	396
PSMB3	419	344	336	288	172	211	193	188	310	243	246
PSMB2	432	604	598	540	394	494	413	316	660	561	512
PSMB1	879	797	737	707	421	512	502	364	810	614	581
LMBR1L	573	1123	1382	1349	1258	1654	1785	1312	2216	1894	1492
TDGF1	5	4	0	10	6	0	9	8	1	4	1
PNMA3	332	517	1512	1103	1339	2562	2727	2021	2681	2190	1870
PNMA2	52	70	35	58	39	10	24	16	43	20	47
PNMA5	224	633	433	354	0	0	1	3	2	2	0
LTN1	370	614	806	488	413	526	511	311	755	486	339
TRIML2	57	39	29	29	0	0	0	0	0	0	0
C9orf142	123	120	115	121	92	95	118	97	123	128	123
TRIML1	174	352	155	99	1	2	0	1	1	3	0
NACC2	379	706	809	759	599	789	480	345	665	828	982
VPS13D	399	994	1276	991	825	706	796	629	1004	833	753
NACC1	325	905	1130	835	721	1012	851	589	1309	1130	1045
VPS13A	501	974	1206	675	178	185	146	82	149	187	117
SH3KBP1	70	91	108	170	93	49	112	123	103	105	155
VPS13C	244	457	933	666	780	797	966	604	993	918	724
VPS13B	217	569	710	547	486	521	565	372	739	534	444
BEX5	101	134	228	186	231	368	273	169	585	423	308
BEX4	399	450	750	868	837	1140	1041	763	1738	1297	1206
BEX2	258	242	512	417	425	656	510	299	905	683	529
BEX1	689	413	1092	985	1422	1597	1546	927	2508	1976	1715
TMEM160	53	76	39	31	13	11	15	14	30	9	25
TMEM163	100	164	182	299	336	450	420	203	529	416	431
TMEM165	229	331	285	409	375	496	469	296	602	530	485
TMEM164	66	119	136	176	286	264	237	153	297	347	226
EVI2A	5	27	9	64	34	10	30	26	14	12	31
TMEM168	271	380	465	480	526	637	595	335	654	610	548
EVI2B	7	28	10	71	40	15	34	23	35	18	47
FOXN1	5	8	6	3	0	0	0	1	0	1	0
FOXN2	68	157	261	187	171	129	215	118	179	185	163
FOXN3	170	420	676	659	752	865	847	655	1703	1067	885
NICN1	270	521	332	392	220	143	246	207	178	253	235
COL14A1	54	146	127	251	70	59	251	215	260	129	123
FAHD2A	91	173	119	106	76	67	78	71	99	99	77
IFFO1	227	429	525	551	484	553	611	437	632	512	593
IFFO2	37	89	93	145	157	111	157	99	99	80	115
SNAP91	333	584	349	341	10	10	5	8	6	6	6
C11orf35	282	531	248	234	15	10	11	20	24	39	29
C11orf34	0	5	3	0	1	0	1	0	1	1	0
C11orf31	353	289	299	269	180	236	266	196	356	305	307
C11orf30	109	309	336	222	145	112	153	124	168	154	125
PHTF2	270	369	390	352	130	75	122	88	143	132	156
MACROD2	128	136	261	238	185	340	141	132	422	302	262
MACROD1	63	57	56	48	15	26	34	37	34	31	35
SEP15	908	1007	984	1154	865	1071	1009	756	1761	1414	1281
KRR1	105	135	181	134	112	134	165	89	151	172	118
FAM64A	7	8	8	2	0	0	7	2	2	2	2
FAM92A1	612	1032	428	499	71	94	119	76	126	108	106
UGT2A1	1	0	1	0	0	0	0	0	0	0	0
C8orf48	115	172	91	89	33	30	12	22	31	21	24
C8orf47	22	34	49	35	62	25	52	15	22	26	25
C8orf46	10	26	28	53	28	23	42	42	57	41	28
C8orf44	23	60	53	58	40	80	76	57	94	80	65
C8orf42	392	515	529	461	83	128	130	153	219	75	159
TP53I3	372	804	471	430	143	253	299	175	271	285	326
C8orf40	327	424	290	299	168	165	173	121	270	253	235
MB	8	21	7	6	1	2	0	3	1	0	3
DUX4L7	0	0	0	0	0	0	0	0	0	0	0
DUX4L6	0	0	0	0	0	0	0	0	0	0	0
DUX4L5	0	0	0	0	0	0	0	0	0	0	0
DUX4L4	0	0	0	0	0	0	0	0	0	0	0
DUX4L3	0	0	0	0	0	0	0	0	0	0	0
DUX4L2	0	0	0	0	0	0	0	0	0	0	0
SLC18A3	0	1	1	1	0	0	0	0	0	0	0
SLC18A2	48	89	85	147	86	42	77	33	55	83	95
SLC18A1	2	2	0	4	0	2	0	0	0	0	0
RALBP1	156	331	417	391	299	255	294	223	411	404	309
ZNF831	10	26	53	29	26	29	37	31	65	34	32
ZNF830	192	254	254	231	208	188	182	168	336	244	227
ZNF835	7	15	7	12	10	6	10	16	17	10	14
ZNF837	22	57	48	53	35	29	32	28	57	42	32
ZNF836	14	18	29	34	48	27	50	33	44	72	27
ZNF839	496	811	680	684	385	528	653	444	700	554	540
LRIF1	403	581	770	651	564	569	589	441	921	761	692
FAM91A1	177	369	454	416	346	436	478	245	584	476	397
TSPY8	1	0	2	0	0	0	0	0	0	0	0
TSPY3	0	0	0	0	0	0	0	0	0	0	0
TSPY2	5	9	10	10	0	0	0	0	0	0	0
TSPY1	1	5	8	3	0	0	0	0	0	0	0
RAB33A	5	14	1	4	2	1	2	3	4	4	2
SLC17A9	16	24	31	54	38	20	53	24	22	49	41
RAB33B	73	81	102	96	132	96	135	76	157	129	126
SLC17A4	2	11	6	6	1	0	1	1	1	0	0
SLC17A5	100	202	158	160	82	75	96	62	111	90	64
SLC17A6	1	3	1	1	0	0	0	1	1	0	3
SLC17A7	29	94	77	55	31	3	21	15	25	15	42
SLC17A1	15	52	18	11	2	1	1	0	1	2	2
SLC17A2	9	2	3	4	0	1	0	0	1	0	0
SLC17A3	5	10	4	3	7	4	2	0	8	16	10
C16orf58	399	839	924	863	748	847	787	623	1191	953	957
C16orf59	73	120	117	92	10	12	21	7	10	20	17
C16orf52	94	153	272	262	275	340	294	243	571	377	310
C16orf54	4	5	2	11	6	1	1	4	0	2	5
C16orf55	1002	1471	759	607	35	28	38	35	42	43	28
AP5B1	97	216	194	195	158	82	120	103	169	192	168
CHMP4A	210	215	195	231	217	222	257	193	320	257	263
CHMP4B	769	1048	918	935	805	877	944	640	1256	1126	1090
CHMP4C	21	11	16	22	42	37	29	22	58	59	49
COBLL1	26	46	61	88	58	27	81	74	40	104	48
TMEM255B	23	38	20	36	13	3	14	16	8	11	13
TMEM255A	1	6	8	7	7	1	9	4	5	8	10
ST5	679	1777	2018	2150	1784	2091	1997	1948	3501	2593	2293
ST7	72	144	103	140	122	128	108	84	134	96	121
ZNF304	87	182	244	222	156	159	209	171	248	191	181
STH	0	3	2	1	0	0	0	0	0	0	0
ZNF302	291	382	458	505	347	377	501	367	455	490	380
ZNF300	102	259	205	204	188	237	286	188	233	255	139
STS	45	53	84	126	123	103	100	136	173	161	107
TRIM49D2P	0	0	0	0	0	0	0	0	0	0	0
HOXB13	1	2	0	2	1	0	2	0	0	1	0
PPP3CA	213	337	527	528	583	757	601	410	866	916	813
PPP3CB	248	466	481	555	348	326	399	360	533	440	409
PPP3CC	798	1435	635	615	131	171	216	132	249	204	160
LIF	4	17	15	38	31	7	95	46	25	68	25
GPATCH8	363	1154	1326	1223	993	1008	1222	867	1511	1354	1057
IQCJ-SCHIP1	0	0	0	0	0	0	0	0	0	0	0
RPL18	1259	1126	1276	1509	1587	1695	1674	1674	2451	2157	2051
ADRA2A	130	203	98	121	14	5	31	72	78	33	38
ADRA2B	31	157	32	41	51	490	674	59	28	61	46
ADRA2C	60	63	78	65	45	62	43	69	81	68	85
TEX26	284	397	157	231	2	1	2	4	12	9	3
TEX22	109	210	98	73	8	15	5	2	5	15	15
TEX28	0	0	2	1	0	0	0	0	0	0	0
TEX29	200	228	107	109	0	3	2	1	2	6	1
SYT8	4	5	4	3	1	3	4	2	1	5	4
SYT9	22	60	35	26	13	14	9	8	3	9	5
MTCH2	1021	1474	1026	915	258	361	288	243	448	337	338
MTCH1	884	1068	1651	1740	1372	2430	1770	1566	3030	2447	2537
SYT1	20	33	55	23	33	5	40	10	30	29	28
SYT2	40	64	78	100	141	179	187	93	210	186	170
SYT3	23	63	32	25	1	1	1	0	4	2	0
SYT4	39	5	7	4	0	0	3	3	8	29	14
SYT5	43	138	41	41	1	1	3	1	0	1	1
SYT6	10	35	24	13	3	4	5	5	0	6	6
SYT7	57	188	166	169	45	20	44	55	35	53	45
TIAL1	549	760	700	760	418	469	532	374	634	519	520
FUBP3	268	348	667	603	477	658	728	497	1107	943	746
FUBP1	179	422	461	349	254	293	332	220	381	368	233
SCHIP1	5	7	4	4	18	10	11	5	9	25	11
MARCO	17	7	1	8	1	0	0	4	3	5	3
SAP30	310	321	240	169	38	43	55	46	71	68	43
NBL1	1	3	3	12	6	2	10	10	15	4	8
HSFX2	0	0	0	0	0	0	0	0	0	0	0
HSFX1	0	0	0	0	0	0	0	0	0	0	0
C1orf53	13	23	9	20	16	14	12	14	17	14	22
C1orf52	292	284	280	299	197	213	234	181	250	311	244
C1orf51	69	115	108	156	48	33	41	53	45	95	77
C1orf50	157	157	163	144	61	64	53	58	97	97	65
C1orf56	1080	1966	1012	695	66	81	94	68	123	127	97
C1orf54	46	41	16	42	13	16	28	30	19	22	29
MARC1	11	8	20	37	47	25	24	39	46	34	42
MARC2	70	96	160	178	269	312	302	226	448	337	310
SMPD4	312	972	736	634	290	366	340	303	469	387	330
SMPD1	231	377	263	313	239	279	249	202	449	314	297
SMPD3	215	494	343	588	431	306	385	571	452	330	417
SMPD2	496	843	329	327	17	31	26	16	33	26	31
BRIP1	232	510	363	248	5	22	13	19	10	28	17
PDE11A	66	91	73	59	14	7	22	12	9	29	21
TTC28	302	819	773	741	537	451	546	418	693	556	460
TTC29	988	1963	809	622	2	7	5	2	1	5	2
TTC24	0	0	1	3	3	3	3	1	1	6	1
TTC25	964	1765	675	676	9	8	19	7	4	19	13
TTC26	142	227	181	119	28	25	27	13	38	39	24
TTC27	254	306	209	167	114	84	141	67	175	152	138
PATL2	1	7	4	3	0	0	1	5	1	2	3
TTC22	2	25	8	5	0	2	1	1	0	0	1
PATL1	157	495	503	522	377	325	342	273	537	393	406
ENO1	2795	4723	3357	3714	1964	2473	2470	2001	4611	3610	2853
ENO2	107	178	131	190	96	27	116	107	71	53	111
ENO3	67	83	130	93	10	9	15	14	11	8	12
ENO4	49	93	65	75	37	33	32	28	28	29	30
CFD	284	249	37	360	360	103	230	377	314	371	565
OBSCN	98	370	219	297	182	75	127	206	119	212	231
SRRD	189	289	170	165	82	88	95	82	184	145	95
MCL1	1059	1952	2856	2710	1635	2398	8299	2511	4861	3188	1903
SORBS1	201	427	296	784	378	553	634	513	442	316	400
SORBS3	1277	3252	2142	1851	1123	1133	1525	1246	1598	1621	1417
SORBS2	30	33	110	126	114	117	136	73	134	93	116
ODC1	2054	2697	2279	1991	1057	1219	2431	888	2301	1771	1238
IL18RAP	0	2	0	2	3	0	4	0	0	0	3
EOMES	4	6	5	11	7	0	4	0	2	0	4
CGB1	1	1	1	0	0	0	0	0	0	0	0
PDSS1	52	59	48	33	11	17	18	9	11	8	11
LOC729059	218	265	134	117	1	1	0	0	0	1	0
FBXO18	366	752	1259	1046	958	1041	1205	888	1715	1387	1182
FKBP15	80	228	248	269	228	194	321	240	346	345	253
UBE2J1	561	1060	774	803	482	427	521	416	621	613	537
FKBP10	182	274	184	440	328	249	412	402	345	323	399
FKBP11	49	53	84	103	106	123	166	87	126	123	96
FBXO10	266	698	400	473	256	243	249	150	423	292	277
FBXO11	962	1410	1456	1218	701	756	831	559	1039	955	758
FBXO16	31	71	33	30	14	7	10	5	15	13	11
TACO1	176	261	154	143	97	107	113	85	184	128	118
FBXO15	256	353	178	161	7	4	6	8	9	18	9
SFTA3	0	0	3	1	0	0	0	0	0	1	0
SFTA2	7	11	5	0	0	0	1	0	0	0	0
CNGB1	8	31	12	17	0	1	2	1	1	0	0
CNGB3	62	342	68	76	1	1	0	1	0	1	0
BCLAF1	867	1346	1755	1615	1104	1416	1579	1011	2030	1991	1333
PLA2G6	583	1601	1116	891	288	385	287	348	493	406	491
PLA2G7	7	3	2	6	10	2	6	2	6	10	8
PLA2G5	74	124	82	230	132	107	173	178	175	178	228
PLA2G3	5	20	14	12	0	0	1	1	0	7	6
GDPGP1	34	50	49	45	20	25	13	19	32	26	17
CCDC77	170	299	210	162	32	48	55	53	63	67	46
KRTAP1-3	0	0	0	1	0	0	1	0	0	0	0
KRTAP1-4	0	0	0	0	0	1	0	0	0	0	0
CCDC73	93	181	171	109	24	55	72	30	84	50	49
